filename,num_sentences,num_bullets,num_matching
2.txt,6,2,1
4.txt,10,8,3
5.txt,8,3,3
7.txt,7,3,2
9.txt,11,2,3
10.txt,5,1,1
13.txt,6,1,0
14.txt,5,2,1
15.txt,6,1,1
18.txt,5,1,1
19.txt,6,2,2
21.txt,6,3,2
25.txt,10,7,10
26.txt,4,1,1
27.txt,6,3,3
28.txt,14,5,2
29.txt,6,4,3
31.txt,3,1,1
32.txt,5,1,0
33.txt,5,1,0
35.txt,5,4,3
37.txt,5,1,0
39.txt,4,1,0
40.txt,7,4,3
41.txt,12,4,5
43.txt,4,1,0
45.txt,5,2,2
47.txt,6,2,1
48.txt,9,2,2
49.txt,9,4,3
50.txt,6,3,6
51.txt,5,1,1
53.txt,7,3,3
54.txt,8,3,2
55.txt,5,1,1
57.txt,11,3,2
58.txt,5,2,1
59.txt,7,1,1
60.txt,8,3,4
61.txt,4,1,0
62.txt,12,3,1
63.txt,5,5,3
64.txt,11,2,2
67.txt,6,2,0
70.txt,5,1,1
73.txt,6,3,2
74.txt,7,6,3
75.txt,10,6,3
76.txt,5,1,0
77.txt,7,2,1
78.txt,3,1,0
82.txt,4,1,0
84.txt,6,2,2
85.txt,6,2,2
88.txt,7,4,2
90.txt,6,1,1
91.txt,7,2,4
92.txt,3,1,0
93.txt,5,1,0
95.txt,7,2,2
97.txt,4,1,1
98.txt,4,2,1
99.txt,7,1,0
101.txt,17,9,6
102.txt,6,2,2
103.txt,9,2,0
104.txt,12,7,2
105.txt,6,3,0
108.txt,6,2,4
111.txt,2,2,1
112.txt,7,5,6
113.txt,7,3,0
115.txt,7,2,3
116.txt,4,1,0
118.txt,6,1,2
120.txt,4,3,2
122.txt,5,1,0
123.txt,10,4,4
124.txt,4,5,6
125.txt,6,1,0
126.txt,9,3,2
127.txt,5,1,1
128.txt,10,6,4
130.txt,8,2,1
131.txt,7,2,1
132.txt,6,1,1
134.txt,5,2,2
137.txt,5,5,3
139.txt,12,9,10
143.txt,7,3,1
144.txt,5,3,5
145.txt,4,3,2
146.txt,4,3,1
150.txt,7,1,0
151.txt,4,1,0
152.txt,5,4,2
153.txt,6,2,2
155.txt,4,2,1
156.txt,6,2,1
159.txt,14,1,1
160.txt,6,3,4
161.txt,8,3,1
163.txt,9,3,0
165.txt,7,4,1
166.txt,7,3,1
167.txt,4,1,1
168.txt,4,3,1
170.txt,4,2,1
172.txt,10,4,6
173.txt,8,2,3
174.txt,11,2,0
175.txt,10,7,5
177.txt,14,7,2
178.txt,6,7,6
179.txt,4,1,0
180.txt,10,3,2
181.txt,5,1,0
182.txt,6,2,2
183.txt,6,5,6
184.txt,7,1,1
185.txt,6,3,1
187.txt,5,2,2
188.txt,8,3,3
189.txt,9,5,9
192.txt,5,2,1
193.txt,7,1,0
194.txt,7,3,2
197.txt,7,2,3
198.txt,4,1,0
199.txt,5,2,0
201.txt,9,5,3
202.txt,7,4,2
205.txt,3,1,1
206.txt,30,5,3
209.txt,4,2,1
210.txt,7,2,0
212.txt,13,2,1
214.txt,4,2,1
215.txt,11,7,9
216.txt,6,3,1
218.txt,9,4,3
220.txt,8,3,6
221.txt,6,3,1
223.txt,4,1,0
227.txt,6,5,3
228.txt,10,4,6
229.txt,5,2,1
230.txt,3,1,1
233.txt,8,9,5
235.txt,17,6,3
237.txt,5,2,1
240.txt,16,2,0
245.txt,7,2,3
248.txt,6,1,1
249.txt,10,1,2
250.txt,6,1,1
251.txt,7,2,0
253.txt,5,2,2
254.txt,4,1,0
256.txt,6,2,1
257.txt,5,1,2
258.txt,6,4,5
260.txt,14,4,1
266.txt,7,2,1
267.txt,7,3,5
268.txt,5,2,2
273.txt,6,4,2
274.txt,9,4,5
277.txt,9,4,3
278.txt,6,3,1
280.txt,4,1,0
285.txt,6,5,1
286.txt,6,1,0
288.txt,7,2,2
289.txt,5,2,0
290.txt,9,3,0
292.txt,7,1,2
293.txt,11,2,3
294.txt,5,1,2
295.txt,7,1,0
296.txt,5,1,1
297.txt,10,7,11
299.txt,6,1,1
300.txt,7,4,4
302.txt,5,1,0
303.txt,9,5,3
304.txt,8,5,2
305.txt,5,1,0
308.txt,5,3,1
312.txt,8,1,0
313.txt,9,6,5
314.txt,7,1,2
315.txt,3,1,0
316.txt,3,1,1
321.txt,8,5,2
322.txt,5,2,2
323.txt,8,4,1
327.txt,7,2,1
329.txt,7,5,2
332.txt,4,2,0
333.txt,5,1,2
334.txt,3,3,2
335.txt,6,1,0
337.txt,7,6,3
340.txt,6,3,1
342.txt,8,3,3
343.txt,8,4,1
347.txt,8,2,1
349.txt,8,2,2
350.txt,6,2,1
351.txt,7,3,3
352.txt,9,1,0
353.txt,10,3,3
355.txt,7,4,5
357.txt,6,2,2
369.txt,5,7,3
371.txt,6,6,2
372.txt,5,4,4
374.txt,4,4,2
376.txt,6,1,0
377.txt,5,1,1
378.txt,3,1,0
379.txt,8,5,3
380.txt,7,1,0
382.txt,8,3,5
383.txt,4,1,1
384.txt,4,3,2
386.txt,4,1,0
387.txt,7,2,1
388.txt,8,4,3
389.txt,10,2,3
390.txt,6,2,2
391.txt,5,1,1
392.txt,7,1,0
394.txt,5,3,3
395.txt,7,1,0
396.txt,6,1,1
397.txt,8,3,4
398.txt,6,1,0
399.txt,6,1,1
400.txt,6,1,1
401.txt,5,4,4
402.txt,4,1,0
403.txt,6,1,1
404.txt,8,2,0
405.txt,8,2,2
406.txt,5,3,2
408.txt,5,2,3
409.txt,8,5,5
410.txt,7,2,1
411.txt,5,4,2
412.txt,13,6,1
414.txt,4,3,0
415.txt,5,1,0
417.txt,6,1,1
418.txt,6,6,0
420.txt,11,1,2
422.txt,4,1,1
423.txt,15,8,9
424.txt,6,1,0
426.txt,7,2,2
431.txt,8,3,1
434.txt,9,5,3
436.txt,4,3,1
437.txt,13,4,7
439.txt,9,3,1
440.txt,7,4,3
441.txt,7,4,2
442.txt,4,2,1
443.txt,4,1,0
446.txt,4,1,1
451.txt,16,1,0
452.txt,9,1,0
453.txt,3,1,0
454.txt,6,1,1
455.txt,6,5,1
456.txt,5,1,1
457.txt,11,3,4
458.txt,6,1,0
460.txt,5,1,1
462.txt,9,2,3
463.txt,11,4,3
464.txt,7,2,1
465.txt,11,6,4
466.txt,5,2,2
468.txt,13,5,4
469.txt,6,3,2
471.txt,5,1,0
472.txt,6,1,0
476.txt,6,1,0
478.txt,4,1,1
481.txt,8,7,1
482.txt,5,1,1
483.txt,12,5,4
484.txt,6,4,3
485.txt,4,1,0
486.txt,9,4,2
488.txt,8,1,0
489.txt,10,1,1
490.txt,8,1,0
491.txt,4,2,0
493.txt,6,1,0
494.txt,13,1,0
495.txt,5,1,1
498.txt,12,2,2
500.txt,6,2,1
501.txt,5,1,1
504.txt,7,5,3
507.txt,4,1,0
509.txt,11,5,8
511.txt,6,2,2
512.txt,7,1,0
513.txt,15,6,2
516.txt,5,1,0
517.txt,5,4,2
520.txt,7,3,3
521.txt,5,3,1
522.txt,7,7,1
524.txt,7,5,2
525.txt,9,4,1
526.txt,3,2,1
528.txt,4,3,2
530.txt,3,1,1
531.txt,5,4,4
533.txt,9,3,5
534.txt,7,3,0
535.txt,9,7,5
537.txt,7,1,1
540.txt,6,4,2
541.txt,11,6,4
545.txt,5,4,3
546.txt,3,1,1
547.txt,5,1,0
548.txt,7,1,0
549.txt,11,4,3
551.txt,5,3,2
552.txt,6,2,2
553.txt,8,3,3
555.txt,5,1,0
558.txt,7,1,1
564.txt,9,4,4
567.txt,7,2,1
568.txt,10,8,7
569.txt,19,6,4
573.txt,7,3,0
574.txt,6,6,2
575.txt,6,1,1
576.txt,12,8,7
578.txt,7,1,1
580.txt,5,1,0
583.txt,8,3,1
585.txt,7,5,2
586.txt,11,8,11
587.txt,8,1,0
590.txt,8,2,3
591.txt,10,2,1
592.txt,7,2,2
593.txt,7,4,1
594.txt,10,4,3
596.txt,6,1,0
597.txt,11,5,3
598.txt,3,2,0
599.txt,4,1,1
600.txt,5,3,0
601.txt,10,6,5
603.txt,4,1,0
604.txt,7,1,0
605.txt,7,2,2
606.txt,9,2,0
607.txt,5,2,1
608.txt,6,1,0
610.txt,5,4,2
611.txt,10,2,0
612.txt,5,7,4
613.txt,4,1,0
615.txt,9,2,1
616.txt,10,2,1
617.txt,5,1,1
619.txt,5,2,2
620.txt,6,2,0
621.txt,5,1,1
623.txt,8,3,1
624.txt,7,6,5
627.txt,6,3,2
628.txt,15,6,5
631.txt,6,5,2
633.txt,6,1,1
634.txt,4,2,0
635.txt,3,3,1
636.txt,7,2,1
637.txt,4,1,0
638.txt,4,1,1
640.txt,6,1,0
641.txt,6,1,0
643.txt,2,1,1
644.txt,4,1,1
645.txt,5,1,1
